Relative Time	Peak at 693 cm-1	Annotations
00:00:55	-0.41992	
00:01:55	-0.490603	
00:02:55	-0.523947	
00:03:55	-0.536411	
00:04:56	-0.527904	
00:05:54	-0.515826	tempo# 
00:06:55	-0.519676	
00:07:55	-0.522555	
00:08:55	-0.500432	
00:09:55	-0.488418	
00:10:55	-0.466235	
00:11:55	-0.445016	
00:12:55	-0.437501	
00:13:55	-0.430471	
00:14:55	-0.406493	
00:15:55	-0.391185	
00:16:55	-0.375276	
00:17:55	-0.346972	
00:18:55	-0.318471	
00:19:55	-0.326823	
00:20:55	-0.307432	
00:21:55	-0.287305	
00:22:55	-0.277918	
00:23:55	-0.262855	
00:24:55	-0.234191	
00:25:55	-0.227379	
00:26:55	-0.209144	
00:27:55	-0.17601	
00:28:55	-0.174029	
00:29:54	-0.1525	
00:30:55	-0.13261	
00:31:55	-0.125546	
00:32:55	-0.11383	
00:33:55	-0.0992283	
00:34:55	-0.0847479	
00:35:56	-0.0655702	30 mins 
00:36:55	-0.0513258	
00:37:55	-0.0357609	
00:38:55	-0.02452	
00:39:55	-0.00329653	
00:40:55	-0.0086342	
00:41:55	0.00806476	
00:42:55	0.0360815	
00:43:55	0.0261851	
00:44:55	0.0566254	
00:45:54	0.0561638	
00:46:55	0.0751559	
00:47:55	0.0772225	
00:48:55	0.0914535	
00:49:55	0.106051	
00:50:55	0.107302	
00:51:55	0.125829	
00:52:55	0.138864	
00:53:55	0.147479	
00:54:55	0.15298	
00:55:55	0.157961	
00:56:55	0.174028	
00:57:58	0.169545	
00:58:59	0.199367	
00:59:57	0.197473	
01:00:55	0.210194	
01:01:55	0.216617	
01:02:55	0.221276	
01:03:55	0.234015	
01:04:55	0.237137	
01:05:55	0.243645	60 mins 
01:06:55	0.24997	
01:07:55	0.256473	
01:08:55	0.262196	
01:09:56	0.278035	
01:10:55	0.276205	
01:11:55	0.272261	
01:12:55	0.283303	
01:13:55	0.285958	
01:14:55	0.298831	
01:15:55	0.312609	
01:16:54	0.318692	
01:17:55	0.311323	
01:18:55	0.320497	
01:19:55	0.325377	
01:20:55	0.330804	
01:21:55	0.340315	
01:22:55	0.347771	
01:23:55	0.349884	
01:24:55	0.352151	
01:25:55	0.347747	
01:26:55	0.353629	
01:27:55	0.366979	
01:28:55	0.372101	
01:29:55	0.375264	
01:30:55	0.380515	
01:31:55	0.38432	
01:32:55	0.376241	
01:33:55	0.383774	
01:34:55	0.388915	
01:35:55	0.401417	90 mins 
01:36:55	0.406517	
01:37:55	0.410696	
01:38:55	0.414245	
01:39:55	0.412351	
01:40:54	0.420774	
01:41:55	0.420295	
01:42:55	0.415725	
01:43:55	0.429746	
01:44:55	0.423747	
01:45:55	0.42644	
01:46:55	0.436623	
01:47:55	0.4277	
01:48:54	0.437202	
01:49:55	0.435749	
01:50:55	0.444414	
01:51:55	0.441663	
01:52:55	0.44868	
01:53:55	0.4452	
01:54:55	0.454371	
01:55:55	0.455941	
01:56:55	0.460923	
01:57:55	0.466235	
01:58:55	0.461738	
01:59:55	0.455896	
02:00:55	0.461699	
02:01:55	0.465157	
02:02:55	0.470338	
02:03:55	0.467373	
02:04:55	0.474336	
02:05:55	0.475878	
02:06:55	0.471913	
02:07:55	0.477791	120 mins 
02:08:55	0.481664	
02:09:55	0.482254	
02:10:55	0.490149	
02:11:55	0.482947	
02:12:55	0.487714	
02:13:55	0.484215	
02:14:55	0.489391	
02:15:55	0.490529	
02:16:55	0.489855	
02:17:55	0.486136	
02:18:55	0.499067	
02:19:58	0.498448	
02:20:55	0.493803	
02:21:55	0.49413	
02:22:54	0.501436	
02:23:56	0.497618	
02:24:54	0.506644	
02:25:55	0.50152	
02:26:55	0.507728	
02:27:55	0.50053	
02:28:55	0.509386	
02:29:55	0.494866	
02:30:55	0.505272	
02:31:55	0.514618	
02:32:55	0.515767	
02:33:55	0.50703	
02:34:55	0.514787	
02:35:55	0.507623	
02:36:55	0.515418	
02:37:55	0.516796	
02:38:55	0.510768	
02:39:55	0.519372	
02:40:55	0.509987	
02:41:55	0.52511	
02:42:55	0.524877	
02:43:55	0.525228	
02:44:55	0.519958	
02:45:55	0.519757	
02:46:55	0.525372	
02:47:56	0.528279	
02:48:54	0.530218	
02:49:55	0.519362	
02:50:55	0.526846	
02:51:55	0.527453	
02:52:55	0.52932	
02:53:55	0.523513	
02:54:55	0.522268	
02:55:55	0.52193	
02:56:55	0.53058	
02:57:55	0.517948	
02:58:55	0.526267	
02:59:55	0.531469	
03:00:55	0.532609	
03:01:55	0.526743	
03:02:55	0.528454	
03:03:55	0.533683	
03:04:55	0.533976	
03:05:55	0.535522	
03:06:55	0.53679	
03:07:54	0.531736	150 mins 
03:08:55	0.532905	
03:09:55	0.531763	
03:10:55	0.538677	
03:11:56	0.533865	
03:12:55	0.538851	
